ja	その腕 どうした？ | 
sv	Vad har du gjort på armen? 
ar	&rlm;‏ما الذي حدث لذراعك؟‏ | 
da	Er din arm okay? 
el	Τι έπαθε το χέρι σου; 
en	Are you... | What happened to your arm? | 
fi	Mitä kädellesi on sattunut? 
fr	T'as quoi au bras ? 
he	&rlm;‏מה קרה לזרוע שלך?‏ | 
it	Che hai fatto al braccio? 
ko	팔은 어쩌다 그렇게 됐어요? | 
nl	Wat is er met je arm? 
pl	Co ci się stało w rękę? 
pr-br	O que houve com seu braço? 
pr	O que te aconteceu ao braço? 
ro	Ce-ai pățit la braț? 
sp-eu	¿Qué te ha pasado en el brazo? 
sp	¿Qué te pasó en el brazo? 
th	เกิดอะไรขึ้นกับแขนคุณ | 
tr	Koluna ne oldu? 
vi	Tay anh sao thế? | 
zh-long	你的手怎麼了？ 
zh-short	你的胳膊怎么了？ 
no	-Hva har hendt med armen din? -Jeg tok tatovering. 
id	Kenapa lenganmu? 

