ja	じゃあ帰るよ　おやすみ | 
id	Baiklah, aku harus pergi. Selamat malam. 
ru	Мне пора. Давай. Спокойной ночи. 
ko	이만 가볼게요 | 안녕히 계세요 | 
ar	&rlm;‏حسناً، يجب أن نذهب. طابت ليلتك، الآن.‏ | 
da	Vi skal gå. Godnat. 
el	Λοιπόν, πρέπει να φύγω τώρα. Καληνύχτα. 
en	Okay, we're gonna go. | All right. Good night, now. | 
fi	Täytyy mennä. Hyvää yötä. 
fr	On y va. Bonne soirée. 
he	&rlm;‏בסדר, אנחנו צריכים לזוז. לילה טוב.‏ | 
it	Bene, devo andare. Buonanotte. 
nl	We moeten gaan. Fijne avond. 
no	Vi drar. Ha det bra. 
pl	Muszę jechać. Dobranoc. 
pr-br	Certo, precisamos ir embora. Boa noite. 
pr	Pronto, vamos andando. Boa noite. 
ro	O să plecăm acum. Noapte bună! 
sp-eu	Nos vamos. Vale. Buenas noches. 
sp	Nos vamos. Bien. Buenas noches. 
sv	Vi måste vidare. God natt. 
th	โอเค ต้องไปแล้ว | เอาละ ราตรีสวัสดิ์ | 
tr	Tamam, gidiyoruz. Pekâlâ. İyi geceler. 
vi	Được rồi, chúng ta sẽ đi. Chúc ngủ ngon. | 
zh-long	我該走了，晚安囉 
zh-short	好吧 那我走了 好的 晚安了 

