id	Lihatlah dirimu, Pak Manajer. 
ja	鬼マネジャーなのね | 
ru	Ты прямо супер-менеджер. 
ar	&rlm;‏يا لروعتك أيها المدير.‏ | 
da	Se lige dig, manager-mand. 
el	Γεια σου, κύριε Μάνατζερ. 
es-eu	Mírate, señor mánager. 
es	Mírate, el señor gerente. 
fi	Kappas managerimiestä. 
fr	Regarde-toi, M. l'imprésario. 
he	&rlm;‏תראה אותך, מר מנהל.‏ | 
it	Ma guardati, signor Manager. 
ko	이게 웬일이에요, 매니저님? | 
nl	Kijk jij nou, Mr Manager. 
no	Se på deg, managermannen. 
pl	Prawdziwy z ciebie pan menedżer. 
pr-br	Veja só você, Sr. Empresário. 
pr	Olha para ti, Sr. Empresário. 
ro	Uită-te la tine! Impresarul-șef! 
sv	Se på dig, mr Manager-mannen. 
th	ดูคุณสิ คุณผู้จัดการ | 
tr	Bak sen, Bay Menajer. 
vi	Xem anh kìa, anh quản lý. | 
zh-long	瞧你，經紀人先生 
zh-short	瞧啊 经纪人先生 
en	-Look at you, Mr. Manager Man. | -You don't wanna yell at people, | 

en	-[growls] -Oh! 

