ja	２度目があって | 本当によかった | 
ru	Я так рад, что мы сделали еще дубль. 
ar	&rlm;‏سُررت جداً بإعادة التسجيل،  | &rlm;لأن أداءك أذهلني.‏ | 
da	Jeg er så glad for anden optagelse, fordi den slog benene væk. 
el	Χαίρομαι που κάναμε μια ακόμη λήψη, γιατί η ερμηνεία σου με συγκλόνισε. 
en	I am so happy we had another take, | because that just killed me. | 
es-eu	Cómo me alegro de haber hecho otra toma, porque me acabas de matar. 
es	Me alegra que tuviésemos que hacer otra toma, porque me mató. 
fi	Hyvä, että otimme uusiksi. Tuo oli mahtava. 
fr	Je suis ravi qu'on ait dû la refaire, car ça m'a bouleversé. 
he	&rlm;‏‏אני שמח שעשינו טייק נוסף | &rlm;‏כי זה פשוט הרג אותי.‏ | 
id	Aku senang kita merekamnya lagi karena itu sangat mengguncangku. 
it	Sono felice di averne fatta un'altra, mi ha emozionato. 
nl	Ik ben blij dat we het nog een keer deden, want dat was geweldig. 
no	Jeg er så glad vi gjorde et nytt opptak, for det var så bra. 
pl	Cieszę się, że zaśpiewałaś raz jeszcze, bo zwaliło mnie to z nóg. 
pr-br	Que bom que repetimos, pois isso acabou comigo. 
pr	Estou tão contente por termos repetido porque agora arrasaste. 
ro	Mă bucur că am mai înregistrat o dată, fiindcă mi s-a părut demențial. 
sv	Jag är glad att vi gjorde om det, för detta gjorde mig stum. 
th	ผมดีใจมากที่เรามีอีกเทก | เพราะมันโดนสุดๆ | 
tr	İyi ki bir tekrar daha yaptık çünkü bu beni mahvetti. 
vi	Tôi thực sự rất vui khi thu lần nữa | vì nó thực sự đốn tim tôi. | 
zh-long	真開心我們又錄了一次 真是太好聽了 
zh-short	很高兴我们又录了一遍 因为唱得真是太棒了 
ko	한 번 더 하길 잘했네 | 방금 죽여줬거든 | 

en	[horror movie music playing] 

