ja	“バラードの最後に | チーンって入れよう”なんて | 
th	"รู้อะไรไหม มาใส่เสียงดิ๊ง | ตรงท้ายเพลงรักกันเถอะ" | 
ko	발라드 끝에 그걸 | 넣자고 한 거예요? | 
en	"You know what? Let's put a... | [imitates triangle chiming] | 
ar	&rlm;‏‏"أتعلمون؟ دعونا نستخدم... | &rlm;‏في نهاية أغنية شعبية؟"‏ | 
da	"Ved I hvad, lad os tilføje et... i slutningen af en ballade?" 
el	ότι πρέπει να μπει ένα... στο τέλος μιας μπαλάντας; 
es-eu	"¿Sabes qué? Vamos a poner un... al final de una balada". 
es	"¿Sabes qué? Pongamos un... al final de la balada"? 
fi	"Hei, pannaanko... balladin loppuun?" 
fr	"Et pourquoi pas un son de triangle à la fin de la ballade ?" 
he	&rlm;‏‏"אתם יודעים מה? בוא נכניס... | &rlm;‏בסוף של בלדה?"‏ | 
it	per dire: "Mettiamo un... alla fine di una ballata". 
nl	'We laten de ballad eindigen met een...'? 
no	"Vet du hva? La oss bruke en... på slutten av en ballade"? 
pl	„A pod koniec ballady wstawmy... ”? 
pr-br	"Quer saber? Vamos pôr um... no fim de uma balada?" 
pr	"Sabem o que mais? Vamos pôr um... no final de uma balada"? 
ro	"Știți ce? Să se audă un... la finalul unei balade"? 
sv	"Vet ni vad? Vi sätter in ett... i slutet av balladen." 
tr	"Bakın, hadi baladın sonuna şunu koyalım" desin? 
vi	"Anh biết không? Hãy cho tiếng... | ở cuối một bản ballad"? | 
zh-long	“這樣吧，我們在情歌結尾加個叮聲” 
zh-short	“知道吗？ 我们在情歌结尾加上叮的一声？” 
id	"Dengar, ayo kita tambahkan bunyi ini pada akhir baladanya"? 
ru	«А запулим-ка мы... 

en	[dance music continues playing] 

