ar	&rlm;‏وكنت تحبني جداً"‏ | 
el	Κι ήσουν τόσο ερωτευμένος μαζί μου 
en	♪ And you were so in love with me ♪ | 
es-eu	Y tú estabas enamorado de mí 
es	Y tú me amabas 
fi	Ja sinä minuun niin 
fr	Et tu m'aimais tellement 
he	&rlm;‏ואתה היית כל כך מאוהב בי‏ | 
it	E tu eri tanto innamorato di me 
ko	너도 나한테 푹 빠졌었지 | 
nl	en jij was zo verliefd op mij 
pl	Ty we mnie kochałeś się 
pr-br	E você estava muito apaixonado por mim 
pr	E tu tão apaixonado por mim 
ro	Și tu erai atât de îndrăgostit de mine 
sv	Och du var kär i mig med 
th	แล้วคุณก็รักฉันมาก | 
tr	Sen de bana âşıktın 
vi	Và anh cũng yêu em nhiều | 
zh-long	你也愛著我 
zh-short	而你也深爱着我 
da	Og du elskede mig 
ru	А ты так любил меня 

en	[grunts] 

