ja	俺だけは特別だと言ってた | 
en	I knew you had other clients, | 
ar	&rlm;‏‏علمت ذلك، لكنك قلت لي | &rlm;‏إنني أعلى مستوى منهم.‏ | 
da	Jeg vidste det, men du sagde, at jeg var i en anden liga. 
el	Εγώ ήξερα, αλλά είπες ότι ήμουν σε ανώτερο επίπεδο. 
fi	Minä tiesin, mutta sanoit, että olen aivan eri luokkaa. 
fr	Ça, je savais, mais tu m'as dit que j'étais d'un autre niveau. 
he	&rlm;‏ידעתי, אבל אמרת שאני בליגה אחרת.‏ | 
it	Io lo sapevo, ma avevi detto che io ero in un'altra categoria. 
ko	알고는 있었지만 | 난 급이 다르다고 했잖아 | 
nl	Ik wist het, maar je zei dat ik in een andere categorie zat. 
no	Jeg visste, men du sa at jeg var i en annen liga. 
pl	Mówiłeś, że biję innych na głowę. 
pr-br	Eu sabia, mas você disse que eu estava em outro nível. 
pr	Eu sabia, mas disseste que eu estava num nível à parte. 
ro	Am știut, dar mi-ai zis că eu sunt mai bun decât ei. 
sp-eu	Yo sabía que tenías otros, pero dijiste que yo jugaba en otra liga. 
sp	Yo sabía, pero dijiste que yo estaba en otra liga. 
sv	Jag visste det, men du sa att jag var i en annan liga. 
th	ก็ใช่ แต่นายบอกว่า | ฉันอยู่คนละชั้นกับคนอื่น | 
tr	Biliyordum ama bana başka bir seviyede olduğumu söylemiştin. 
vi	Tôi biết, nhưng anh nói | tôi ở đẳng cấp khác. | 
zh-long	我知道，但你說 我跟他們不同層次 
zh-short	我知道 可你说过我不一样 
id	Aku tahu kau punya klien lain, tapi kau bilang aku berbeda. 
ru	Я знал, но ты сказал, что они мне в подметки не годятся. 
en	but you told me I was | in a different league from them. | 

