ja	からかっただけ | 
id	Aku juga tidak mau masuk ke kolam. 
ru	Я бы не прыгнула. 
ar	&rlm;‏لم أكن سأنزل في البركة.‏ | 
da	Jeg havde ikke tænkt mig at gøre det. 
el	Δε θα έμπαινα. 
en	I wasn't gonna go in. | 
fi	En aikonut mennä altaaseen. 
fr	J'allais pas aller dedans. 
he	&rlm;‏לא התכוונתי להיכנס.‏ | 
it	Non mi sarei tuffata. 
no	Jeg skulle ikke hoppe uti. 
pl	Nie weszłabym. 
pr-br	Eu não ia entrar. 
pr	Eu não ia entrar. 
ro	Nu intenționam să intru! 
sp-eu	No iba a meterme. 
sp	No iba a meterme. 
sv	Jag tänkte inte hoppa i. 
th	ฉันไม่ได้จะลงไปซะหน่อย | 
tr	Havuza girmeyecektim. 
vi	Tôi sẽ không xuống bể. | 
zh-long	我不會真的下去啦 
zh-short	我不会进泳池的 
nl	Ik was er echt niet in gegaan. -Dat weet ik. 
ko	들어갈 생각 없었어요 | 

