ar	&rlm;‏‏- كان يتظاهر بالضحك على النكات المضحكة. | &rlm;‏- تلك البطيخة.‏ | 
da	-Han grinede falsk til standupshows. -Fjols. 
el	-Το έκανε και με τους καλούς κωμικούς. -Τι ανόητος. 
en	-He would fake laugh at funny comics. | -That melon. | 
fi	-Hän tekonauroi hauskoille koomikoille. -Se meloni. 
fr	- Il se forçait même quand c'était drôle. - Quel idiot. 
he	&rlm;‏‏הוא צחק צחוק מזויף עם קומיקאים מצחיקים. | &rlm;‏-המפגר הזה.‏ | 
id	- Dia memalsukan tawa untuk pelawak lucu. - Orang itu. 
it	- Fingeva di ridere guardando cose buffe. - Che scemo. 
ko	웃긴 코미디를 보고도 | 거짓 웃음소리를 냈어요 | 
nl	Hij lachte nep om grappige komieken. -Die idioot. 
no	Han lo falskt av morsomme komikere. 
pl	- Udawał śmiech przy dobrych komikach. - Głąb. 
pr-br	-Dava risada forçada de coisa engraçada. -Aquele melão. 
pr	- Fingia risos com comediantes divertidos. - Idiota. 
ro	- Râdea fals și la comicii buni. - Idiotul! 
ru	Он это делал, даже когда было правда смешно. 
sp-eu	- Ponía la risa falsa hasta con cómicos. - Qué pardillo. 
sp	- Se reía falsamente de cosas graciosas. - Ese melón. 
sv	Han fejkskrattade åt roliga komiker. 
th	- เขาแกล้งหัวเราะกับทุกมุก | - ไอ้โง่นั่น | 
tr	-Komedyenlere sahte kahkahayla gülerdi. -Şapşal. 
vi	- Anh ta cười nhạt với chuyện hài. | - Quả dưa. | 
zh-long	-他連看諧星講笑話都會假笑 -呆瓜 
zh-short	-他会在看喜剧时假装大笑 -那个大肚子 
ja	本当に面白い時もやる | 

it	Adam potrebbe essere lì. 
hu	Szerintem Adam ott van. 
id	Mungkin Adam ada di sana. 
cs	Může tam být Adam. 
da	Jeg tror, Adam er der. | 
en	I think Adam might be there. 
es	Adam podría estar ahí. 
es-eu	Adam podría estar allí. 
fi	Adam voi olla siellä. | 
fr	Adam y est peut-être. 
he	‫אני חושבת שאדם היה שם.‬ | 
hr	Možda je Adam ondje. 
ko	&lrm;아담이 거기 있을지도 몰라요 | 
ms	Saya rasa Adam ada di sana. 
no	Jeg tror Adam er der. 
pt-br	Adam pode estar lá. 
pt	O Adam pode estar lá. 
th	&lrm;ฉันคิดว่าอดัมอาจอยู่ที่นั่น | 
tr	Adam da orada olabilir. 
uk	Думаю, Адам там. 
zh-long	我想亞當也許會在那裡 
zh-short	我觉得亚当可能在那里 
el	Ίσως να είναι εκεί ο Άνταμ. Αγνοείται. Πέρασαν δύο μέρες. 
nl	Ik denk dat Adam daar is. Hij wordt al twee dagen vermist. 
ro	Cred că Adam e acolo. A dispărut de două zile. 
sv	Jag anar att Adam är där. Han har varit försvunnen i två dagar. 
vi	&lrm;Tôi nghĩ Adam có thể ở đó. | &lrm;Nó mất tích. Đã hai ngày rồi. | 
ja	&lrm;アダムが そこにいるかも | &lrm;２日間も行方不明 | 
ru	Думаю, Адам мог туда пойти. Он пропал. Его нет уже двое суток. 
pt-br	Ele desapareceu há dois dias. 
zh-short	他已经失踪两天了 
cs	Už dva dny o něm nic nevíme. 
fi	Hän on ollut kaksi päivää kateissa. | 
es	Está desaparecido desde hace dos días. 
da	Han har været væk i to dage. | 
en	He's missing. It's been two days. 
es-eu	Hace dos días que desapareció. 
fr	Il a disparu depuis deux jours. 
he	‫הוא נעדר. כבר יומיים.‬ | 
hr	Nestao je. Dva se dana ne javlja. 
hu	Eltűnt. Már két napja. 
id	Dia menghilang. Sudah dua hari. 
it	È scomparso, sono passati due giorni. 
ko	&lrm;실종됐어요, 이틀이 지났죠 | 
ms	Sudah dua hari dia hilang. 
no	Han er savnet. Det har gått to dager. 
pt	Ele desapareceu. Já faz dois dias. 
th	&lrm;เขาหายตัวไปสองวันแล้ว | 
tr	İki gündür kayıp. 
zh-long	他失蹤了，已經兩天沒有消息 
uk	Він зник. Два дні не виходить на зв'язок. 

