ja	すみません | 
ar	&rlm;‏معذرة يا آنسة؟‏ | 
da	Undskyld, frøken? 
el	Με συγχωρείτε, δεσποινίς. 
fi	Anteeksi, neiti. 
fr	Excusez-moi, mademoiselle ? 
he	&rlm;‏סליחה, מיס?‏ וואו... | 
it	Mi scusi, signorina. 
ko	실례합니다, 아가씨 | 
nl	Sorry, miss? 
pl	Przepraszam. 
pr-br	Com licença, moça? 
pr	Desculpe, menina? 
ro	Scuză-mă, domnișoară. 
sp	Disculpe, señorita. 
sp-eu	Perdón, señorita. 
sv	Ursäkta mig, fröken? 
th	โทษทีครับคุณ | 
tr	Affedersiniz küçük hanım. 
vi	Xin lỗi cô? | 
zh-long	小姐，不好意思 
zh-short	打扰了 小姐？ 
en	Excuse me, miss? Oh, wow. Hi. | 

