id	Mereka mengizinkanmu masuk? 
ar	&rlm;‏أسمحوا لك بالدخول إلى هذه الحفلة؟‏ | 
da	Har de lukket dig ind? 
el	Πώς και σ' άφησαν να μπεις; 
en	They let you in this party? | 
es-eu	¿Te han dejado entrar? 
es	¿Te dejaron entrar a esta fiesta? 
fi	Päästettiinkö sinut tänne? 
fr	Ils t'ont laissé entrer ? 
he	&rlm;‏הכניסו אותך למסיבה הזו?‏ | 
it	Ti hanno fatto entrare? 
nl	Mocht jij binnenkomen? 
pl	Wpuścili cię tu? 
pr-br	Deixaram você entrar nesta festa? 
pr	Deixaram-te entrar na festa? 
ro	Te-au primit la petrecerea asta? 
th	เขาให้นายมางานนี้ด้วยเหรอ | 
tr	Seni bu partiye aldılar mı? 
vi	Họ để anh ta tới bữa tiệc này à? | 
zh-long	他們讓你進來？ 
zh-short	他们居然请你来参加派对？ 
ko	들여보내 주던가요? | 
no	-Slapp de deg inn på festen? -Hei, Bronstein. 
sv	-Släppte de in dig på festen? -Hej, Bronstein. 
ru	Тебя сюда пустили? 

en	[distant howling] 

